INFO  - 2016-09-01 23:37:07.023; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2016-09-01 23:37:07.063; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/contexts at interval 0
INFO  - 2016-09-01 23:37:07.074; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/contexts/solr-jetty-context.xml
INFO  - 2016-09-01 23:37:07.149; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/webapps/solr.war!/ to /Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr-webapp/webapp
INFO  - 2016-09-01 23:37:08.950; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2016-09-01 23:37:09.035; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2016-09-01 23:37:09.053; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2016-09-01 23:37:09.054; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2016-09-01 23:37:09.055; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2016-09-01 23:37:09.225; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/solr.xml
INFO  - 2016-09-01 23:37:09.364; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr
INFO  - 2016-09-01 23:37:09.373; org.apache.solr.core.CoreContainer; New CoreContainer 359368949
INFO  - 2016-09-01 23:37:09.373; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2016-09-01 23:37:09.386; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2016-09-01 23:37:09.387; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2016-09-01 23:37:09.390; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2016-09-01 23:37:09.393; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2016-09-01 23:37:09.393; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2016-09-01 23:37:09.394; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2016-09-01 23:37:09.394; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2016-09-01 23:37:09.394; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2016-09-01 23:37:09.394; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2016-09-01 23:37:09.395; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2016-09-01 23:37:09.599; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
INFO  - 2016-09-01 23:37:09.603; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2016-09-01 23:37:09.604; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2016-09-01 23:37:09.605; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2016-09-01 23:37:10.105; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr
INFO  - 2016-09-01 23:37:10.114; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/
INFO  - 2016-09-01 23:37:10.115; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2016-09-01 23:37:10.117; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/'
INFO  - 2016-09-01 23:37:10.192; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2016-09-01 23:37:10.194; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2016-09-01 23:37:10.194; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2016-09-01 23:37:10.195; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2016-09-01 23:37:10.195; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2016-09-01 23:37:10.195; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2016-09-01 23:37:10.196; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2016-09-01 23:37:10.196; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2016-09-01 23:37:10.196; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2016-09-01 23:37:10.197; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2016-09-01 23:37:10.197; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2016-09-01 23:37:10.197; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2016-09-01 23:37:10.198; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2016-09-01 23:37:10.198; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2016-09-01 23:37:10.198; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2016-09-01 23:37:10.199; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2016-09-01 23:37:10.199; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2016-09-01 23:37:10.199; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2016-09-01 23:37:10.199; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2016-09-01 23:37:10.200; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
